Sale_ID,Date,Brand,Product_Type,Country,Sales_Channel,Payment_Method,Price_USD,Units_Sold,Revenue_USD
1,11/24/2025,Fenty Beauty,Eyeliner,UAE,Retail Store,Digital Wallet,17.8,48,854.4
2,2/22/2025,L'Oreal,Highlighter,USA,Online,Cash,82.82,35,2898.7
3,4/22/2025,Maybelline,Eyeliner,Germany,Retail Store,Card,31.76,39,1238.64
4,10/29/2025,MAC,Highlighter,France,Mall,Cash,36.99,1,36.99
5,4/21/2025,L'Oreal,Lipstick,Germany,Online,Card,115.08,22,2531.76
6,6/26/2025,Estee Lauder,Lipstick,Germany,Online,Digital Wallet,74.43,3,223.29
7,5/31/2025,Dior,Eyeliner,UK,Online,Digital Wallet,100.38,40,4015.2
8,4/27/2025,Huda Beauty,Lipstick,Germany,Mall,Card,93.9,6,563.4
9,11/22/2025,Dior,Concealer,UAE,Mall,Digital Wallet,100.92,11,1110.12
10,12/16/2025,MAC,Eyeliner,Saudi Arabia,Beauty Salon,Card,79.52,39,3101.28
11,5/19/2025,Huda Beauty,Concealer,USA,Retail Store,Cash,118.8,41,4870.8
12,6/11/2025,Huda Beauty,Concealer,UAE,Beauty Salon,Card,51.13,5,255.65
13,11/26/2025,MAC,Eyeliner,India,Beauty Salon,Digital Wallet,57.77,17,982.09
14,7/24/2025,Estee Lauder,Lipstick,USA,Online,Cash,46.63,9,419.67
15,11/18/2025,NARS,Lipstick,Germany,Beauty Salon,Digital Wallet,23.4,44,1029.6
16,8/28/2025,Maybelline,Lipstick,India,Mall,Cash,65.85,36,2370.6
17,5/31/2025,Maybelline,Blush,Saudi Arabia,Online,Digital Wallet,55,30,1650
18,6/2/2025,Huda Beauty,Mascara,France,Retail Store,Digital Wallet,101.79,33,3359.07
19,9/29/2025,Dior,Eyeshadow,USA,Online,Card,110.63,39,4314.57
20,6/7/2025,L'Oreal,Lipstick,Canada,Online,Digital Wallet,32.54,16,520.64
21,3/6/2025,MAC,Blush,Germany,Retail Store,Digital Wallet,19.77,31,612.87
22,12/20/2025,NARS,Concealer,Canada,Beauty Salon,Cash,28.13,20,562.6
23,5/7/2025,Maybelline,Eyeliner,UAE,Online,Cash,30.84,22,678.48
24,12/29/2025,L'Oreal,Foundation,France,Online,Digital Wallet,77.58,15,1163.7
25,5/2/2025,Huda Beauty,Mascara,Canada,Retail Store,Card,37.02,32,1184.64
26,7/28/2025,NARS,Concealer,Germany,Beauty Salon,Card,26.9,7,188.3
27,1/28/2025,L'Oreal,Foundation,Germany,Mall,Cash,82.44,42,3462.48
28,5/8/2025,Estee Lauder,Mascara,Germany,Retail Store,Card,27.03,35,946.05
29,8/25/2025,Estee Lauder,Lipstick,USA,Online,Cash,33.73,5,168.65
30,5/2/2025,Estee Lauder,Eyeliner,Germany,Online,Cash,24.13,32,772.16
31,7/14/2025,Fenty Beauty,Eyeshadow,India,Beauty Salon,Digital Wallet,5.25,25,131.25
32,10/12/2025,MAC,Eyeliner,India,Retail Store,Cash,81.12,32,2595.84
33,10/24/2025,Dior,Foundation,USA,Beauty Salon,Digital Wallet,89.61,4,358.44
34,9/29/2025,L'Oreal,Mascara,UK,Online,Digital Wallet,23.1,33,762.3
35,5/1/2025,Huda Beauty,Foundation,UK,Beauty Salon,Digital Wallet,51.43,37,1902.91
36,10/26/2025,Fenty Beauty,Eyeliner,France,Retail Store,Card,70,21,1470
37,7/22/2025,Fenty Beauty,Eyeshadow,France,Online,Cash,20.05,42,842.1
38,8/23/2025,L'Oreal,Lipstick,UAE,Mall,Cash,76.43,37,2827.91
39,6/28/2025,Dior,Blush,Saudi Arabia,Beauty Salon,Digital Wallet,106.3,16,1700.8
40,12/27/2025,Maybelline,Blush,UK,Retail Store,Card,39.79,42,1671.18
41,3/1/2025,MAC,Blush,India,Retail Store,Digital Wallet,107.32,48,5151.36
42,6/25/2025,Fenty Beauty,Eyeshadow,India,Online,Cash,28.41,41,1164.81
43,11/21/2025,Maybelline,Foundation,France,Retail Store,Digital Wallet,53.71,18,966.78
44,5/15/2025,NARS,Foundation,UK,Online,Digital Wallet,23.58,29,683.82
45,3/18/2025,MAC,Highlighter,Saudi Arabia,Online,Card,67.74,24,1625.76
46,7/6/2025,Dior,Eyeliner,UAE,Online,Card,108.38,3,325.14
47,10/14/2025,MAC,Eyeliner,Saudi Arabia,Retail Store,Card,106.68,27,2880.36
48,1/13/2025,NARS,Eyeliner,India,Retail Store,Digital Wallet,25.63,22,563.86
49,2/25/2025,Estee Lauder,Eyeliner,UAE,Beauty Salon,Card,48.99,3,146.97
50,6/6/2025,Huda Beauty,Foundation,UAE,Beauty Salon,Card,99.36,15,1490.4
51,5/23/2025,Fenty Beauty,Concealer,Germany,Mall,Cash,104.4,50,5220
52,3/1/2025,MAC,Blush,USA,Online,Digital Wallet,105.86,17,1799.62
53,8/11/2025,NARS,Lipstick,Germany,Retail Store,Card,44.75,21,939.75
54,1/23/2025,Huda Beauty,Concealer,Germany,Online,Digital Wallet,86.51,1,86.51
55,6/19/2025,L'Oreal,Blush,India,Beauty Salon,Card,76.66,43,3296.38
56,7/26/2025,MAC,Eyeliner,Germany,Beauty Salon,Digital Wallet,85.18,36,3066.48
57,3/31/2025,NARS,Foundation,India,Mall,Cash,75.78,20,1515.6
58,8/9/2025,Dior,Eyeshadow,Canada,Beauty Salon,Digital Wallet,95.36,39,3719.04
59,4/20/2025,MAC,Lipstick,India,Mall,Cash,63.79,48,3061.92
60,5/1/2025,Huda Beauty,Mascara,USA,Online,Cash,82.37,15,1235.55
61,9/1/2025,L'Oreal,Eyeshadow,Germany,Retail Store,Digital Wallet,75.3,50,3765
62,12/23/2025,Huda Beauty,Mascara,USA,Online,Card,49.16,26,1278.16
63,4/23/2025,Estee Lauder,Foundation,UAE,Online,Card,25.23,45,1135.35
64,3/10/2025,Dior,Eyeshadow,Germany,Beauty Salon,Cash,97.16,43,4177.88
